"Alessandro, 2014"	A computational analysis of motor synergies by dynamic response decomposition
"Alessandro, 2018"	Adaptation after vastus lateralis denervation in rats suggests neural regulation of joint stresses and strains
"Almeida-Silveira, 2000"	Changes in stiffness induced by hindlimb suspension in rat Achilles tendon
"An, 1984"	Determination of Muscle Orientations and Moment Arms
"Anderson, 2001"	Dynamic Optimization of Human Walking
"Anderson, 2001"	Static and dynamic optimization solutions for gait are practically equivalent
"Andrada, 2013"	From biomechanics of rats’ inclined locomotion to a climbing robot
"Aoi, 2013"	Contributions of phase resetting and interlimb coordination to the adaptive control of hindlimb obstacle avoidance during locomotion in rats: a simulation study
"Beer, 1997"	Biologically Inspired Approaches to Robotics: What Can We Learn from Insects?
"Beer, 1999"	Evolution and Analysis of Model CPGs for Walking: II. General Principles and Individual Variability
"Berniker, 2009"	Simplified and effective motor control based on muscle synergies to exploit musculoskeletal dynamics
"Berniker, 2016"	A Probabilistic Analysis of Muscle Force Uncertainty for Control
"Bouisset, 1973"	EMG and Muscle Force in Normal Motor Activities
"Brown, 1996"	Mechanics of feline soleus: II design and validation of a mathematical model
"Buchanan, 1986"	Characteristics of synergic relations during isometric contractions of human elbow muscles
"Buchanan, 1996"	An Evaluation of Optimization Techniques for the Prediction of Muscle Activation Patterns During Isometric Tasks
"Buchanan, 2004"	Neuromusculoskeletal Modeling: Estimation of Muscle Forces and Joint Moments and Movements From Measurements of Neural Command
"Buschmann, 2015"	Controlling legs for locomotion—insights from robotics and neurobiology
"Chang, 2017"	A muscle-driven approach to restore stepping with an exoskeleton for individuals with paraplegia
"Charles, 2016"	Muscle moment arms and sensitivity analysis of a mouse hindlimb musculoskeletal model
"Chia Bejarano, 2017"	Tuning of Muscle Synergies During Walking Along Rectilinear and Curvilinear Trajectories in Humans
"Chiel, 1997"	"The brain has a body: adaptive behavior emerges from interactions of nervous system, body and environment"
"Chiel, 2009"	The Brain in Its Body: Motor Control and Sensing in a Biomechanical Context
"Cleland, 1867"	On the Actions of Muscles passing over more than One Joint
"Cofer, 2010"	AnimatLab: A 3D graphics environment for neuromechanical simulations
"Corcos, 1992"	Electromechanical delay: An experimental artifact
